● あいじょう[愛情] 	[명사]애정;사랑
● じんじ[人事] 	[명사]인사, 인간사;인간 사회에서 일어나는...
● しんじる[信じる] 	[동사]→しんずる
● しんしん[心身·身心] 	[명사]심신;마음과 몸;정신과 신체
● しんじん[新人] 	[명사]신인, 신참;신진, 신 사상을 가지고...
● しんずる[信ずる] 	[동사]믿다, 의심하지 않다;신용하다, 신앙...
● しんせん[新鮮] 	[형용동사]신선
● しんぞう[心臓] 	[명사]심장, 염통, 중심부;원동력
● じんぞう[人造] 	[명사]인조;인공
● しんたい[身体] 	[명사]신체;몸
● しんだい[寝台] 	[명사]침대
● しんだん[診断] 	[명사]진단
● しんちょう[慎重] 	[명사]신중
● しんにゅう[侵入] 	[명사]침입
● しんぱん[審判] 	[명사]심판, 판결, 심판원
● じんぶつ[人物] 	[명사]인물;인품;사람
● じんめい[人命] 	[명사]인명
● しんよう[信用] 	[명사]신용, 신용 거래, 신뢰함;믿고 씀
● しんらい[信頼] 	[명사]신뢰
● しんりん[森林] 	[명사]삼림
● じんるい[人類] 	[명사]인류
● しんろ[針路] 	[명사]침로;나아갈 길
● す[巣] 	[명사]새·짐승·곤충 따위의 집, 사람이 사...
● ず[図] 	[명사]그림;회화, 도면;도형, 꼴;모양·광...
● すいさん[水産] 	[명사]수산
● すいじ[炊事] 	[명사]취사
● すいじゅん[水準] 	[명사]수준, ‘水準器’의 준말
● すいじょうき[水蒸気] 	[명사]수증기;김
● すいせん[推薦] 	[명사]추천
● すいそ[水素] 	[명사]수소
● すいちょく[垂直] 	[명사]수직
● スイッチ 	[명사]스위치, 개폐기;두꺼비집, 스위치를 ...
● すいてい[推定] 	[명사]추정
● すいとう[水筒] 	[명사]수통;빨병
● ずいひつ[随筆] 	[명사]수필;에세이
● すいぶん[水分] 	[명사]수분;물기
● すいへい[水平] 	[명사]수평
● すいめん[水面] 	[명사]수면;물 표면
● すいよう[水曜] 	[명사]수요
● すう[数] 	[명사]수;수효, 정수·분수·유리수·무리수·...
● すうじ[数字] 	[명사]숫자, 몇 자
● スープ 	[명사]수프;국
● すえ[末] 	[명사]끝;마지막, 사물의 끝, 어떤 기간의...
● すがた[姿] 	[명사]모양, 모습;형체, 형편;상태
● ずかん[図鑑] 	[명사]도감
● すき[透き] 	[명사]틈, 빈틈;빈 곳, 겨를;짬
● すぎ[杉] 	[명사]삼목
● スキー 	[명사]스키
● すきずき[好き好き] 	[명사]각자 기호가 다름
● すきとおる[透き通る] 	[동사]비쳐 보이다;투명하다, 소리가 맑다,...
● すきま[透き間] 	[명사]틈, 겨를;짬
● すくう[救う] 	[동사]구하다;건지다, 구원하다;구제하다, ...
● すぐれる[優れる] 	[동사]뛰어나다;우수하다;훌륭하다
● ずけい[図形] 	[명사]도형;그림
● すじ[筋] 	[명사]줄기, 얼거리;줄거리, 가닥
● すず[鈴] 	[명사]방울
● すずむ[涼む] 	[동사]시원한 바람을 쐬다;납량하다
● スター 	[명사]스타;인기인;인기 배우
● スタート 	[명사]스타트;출발;출발 신호
● スタンド 	[명사]스탠드, 매장, 계단식 관람석
● スチュワーデス 	[명사]스튜어디스;여객기의 여자 승무원;에어...
● ずつう[頭痛] 	[명사]두통;전하여, 걱정;근심
● すっきり 	[동사]산뜻한 모양;세련된 모양;말끔한 모양
● すっと 	[부사]쑥;쓱, 후련함;상쾌함
● すっぱい[酸っぱい] 	[형용사]시다;시큼하다
● ステージ 	[명사]스테이지;무대;연단
● ストッキング 	[명사]스타킹
● すなわち 	[기타]즉;곧, 즉석에;당장에, 그 때
● ずのう[頭脳] 	[명사]두뇌, 뇌;머리, 판단력;지력
● ずひょう[図表] 	[명사]도표;그래프
● すべて[総て·全て·凡て·都て] 	[명사]전부;모두;전체
● スマート 	[형용동사]스마트, 말쑥함;단정하고 멋스러움...
● すまない[すまない·済まない] 	[명사]미안하다
● すみ[墨] 	[명사]먹, 먹같이 갈아 쓰는 것, →すみい...
● -ずみ[済み] 	[명사]끝남;필
● すもう[相撲] 	[명사]씨름, ‘すもうとり’의 준말
● スライド 	[명사]슬라이드, 환등기, 미끄러짐;미끄러지...
● ずらす 	[동사]비키어 놓다;특히, 겹치지 않도록 비...
● する[刷る] 	[동사]박다;찍다, 인쇄하다, 옷감에 염색본...
● ずるい[狡い] 	[형용사]교활하다;능글맞다;뺀들거리다
● すれちがう[擦れ違う] 	[동사]스치듯 지나가다, 엇갈리다
● ずれる 	[동사]어긋나다;벗어나다
● すんぽう[寸法] 	[명사]길이;치수, 작정;순서, 형편;모양
● せい[所為] 	[명사]원인;이유;탓
● せい[姓] 	[명사]성;성씨, →かばね
● せい[性] 	[명사]성질;성격, 남녀·자웅의 구별;섹스,...
● せい[正] 	[명사]정, 올바른 모양의 뜻, 상위의 벼슬
● せい[生] 	[대명사]생, 소생, 가공하지 않음의 뜻
● せいかい[正解] 	[명사]정해, 그렇게 해 놓아, 나중에 좋았...
● ぜいかん[税関] 	[명사]세관
● せいき[世紀] 	[명사]세기
● せいきゅう[請求] 	[명사]청구;요구
● せいけつ[清潔] 	[명사]청결
● せいげん[制限] 	[명사]제한
● せいさく[製作] 	[명사]제작
● せいさく[制作] 	[명사]제작;예술 작품·방송 프로그램 따위를...
● せいしょ[清書] 	[명사]청서;정서
● せいしん[精神] 	[명사]정신
● せいすう[整数] 	[명사]정수
● せいぜい[精精] 	[부사]힘껏 노력하여;힘 있는 한, 기껏;겨...
● せいぞう[製造] 	[명사]제조
● せいぞん[生存] 	[명사]생존
● ぜいたく[贅沢] 	[명사]사치;또, 비용이 많이 듦
● せいちょう[生長] 	[명사]생장;초목 따위가 자람
● せいど[制度] 	[명사]제도
● せいとう[政党] 	[명사]정당
● せいのう[性能] 	[명사]성능
● せいび[整備] 	[명사]정비
● せいふ[政府] 	[명사]정부, →ないかく
● せいぶつ[生物] 	[명사]생물;→いきもの
● せいぶん[成分] 	[명사]성분
● せいべつ[性別] 	[명사]성별
● せいほうけい[正方形] 	[명사]정방형;정사각형;→ちょうほうけい
● せいめい[生命] 	[명사]생명;수명;목숨
● せいりつ[成立] 	[명사]성립
● せいれき[西暦] 	[명사]서력;서기
● せおう[背負う] 	[동사]짊어지다, 등에 메다;업다, 지다;떠...
● せきたん[石炭] 	[명사]석탄
● せきどう[赤道] 	[명사]적도
● せけん[世間] 	[명사]세간;세상, 사회;세상 사람들, 활동...
● せつ[説] 	[명사]설;주장;의견
● せっかく[折角] 	[부사]모처럼, 애써;크게 별러서, 일부러;...
● せっきん[接近] 	[명사]접근
● せっけい[設計] 	[명사]설계
● せっする[接する] 	[동사]접하다, 만나다, 바싹 가까이 대다
● せっせと 	[부사]열심히;부지런히
● せつぞく[接続] 	[명사]접속
● ぜったい[絶対] 	[명사]절대, 절대로, 무조건;무슨 일이 있...
● せっとく[説得] 	[명사]설득
● せつび[設備] 	[명사]설비;시설
● ぜつめつ[絶滅] 	[명사]절멸;근절
● せまる[迫る] 	[동사]다가오다;다가가다, 바싹 따르다;육박...
● ゼミ 	[명사]‘ゼミナール’의 준말
● せめて[切めて·迫めて] 	[부사]하다못해;그런대로, 굳이;억지로
● せめる[攻める] 	[동사]공격하다;진격하다
● せめる[責める] 	[동사]비난하다;나무라다, 괴롭히다;고통을 ...
● セメント 	[명사]시멘트
● せりふ[台詞·科白·白] 	[명사]대사, 틀에 박힌 말, 언사
● せん[栓] 	[명사]마개, 수도 따위의 개폐 장치
● ぜん[前] 	[명사]이전;앞, 전의, …의 앞
● ぜん[善] 	[명사]선;올바르고 착함
● ぜんご[前後] 	[명사]앞뒤, 전후함, 정도
● ぜんしゃ[前者] 	[명사]전자
● ぜんしん[前進] 	[명사]전진
● せんす[扇子] 	[명사]선자;접부채;쥘 부채
● せんせい[専制] 	[명사]전제
● せんぞ[先祖] 	[명사]선조;조상
● せんたん[先端] 	[명사]첨단, 뾰족한 끝;선단, 시대·유행의...
● センチ 	[명사]센티, 미터법에서, 그 단위의 100...
● せんとう[先頭] 	[명사]선두
● ぜんぱん[全般] 	[명사]전반
● せんめん[洗面] 	[명사]세면;세수
● ぜんりょく[全力] 	[명사]전력
● ぞう[象] 	[명사]코끼리
● そうい[相違] 	[명사]상위;다름;틀림
● ぞうか[増加] 	[명사]증가
● ぞうきん[雑巾] 	[명사]걸레
● ぞうげん[増減] 	[명사]증감
● そうこ[倉庫] 	[명사]창고
● そうご[相互] 	[명사]상호
● そうさ[捜査] 	[명사]수사
● そうさ[操作] 	[명사]조작
● そうさく[創作] 	[명사]창작, 꾸며낸 일;거짓
● そうしき[葬式] 	[명사]장례식
● ぞうせん[造船] 	[명사]조선
● そうぞうしい[騒騒しい] 	[형용사]시끄럽다;떠들썩하다
● ぞうだい[増大] 	[명사]증대
● そうち[装置] 	[명사]장치
● そうべつ[送別]     [명사]송별
● ぞうり[草履]     [명사]짚신;샌들
● ぞくする[属する]     [동사]속하다;딸리다, 맡기다;부탁하다
● そくりょく[速力]     [명사]속력
● そこで[其処で]     [기타]그래서, 그런데;한데
● そしき[組織]     [명사]조직
● そしつ[素質]     [명사]소질
● そせん[祖先]     [명사]조선;선조;조상
● そっち[其方]     [대명사]→そちら
● そっちょく[率直]     [형용동사]솔직
● そなえる[備える]     [동사]준비하다;대비하다, 갖추다, 구비하다...
● そのうえ[其の上]     [명사]더구나;게다가;또한
● そのうち[其の内]     [명사]일간;가까운 시일 안에, 머지않아, ...
● そのため[其の為] [명사]그 때문에;그 덕에
● そのほか[其の外] [명사]그 외;기타
● そのまま[其の儘]     [명사]그대로, 즉시, 꼭 닮음
● そぼく[素朴]     [형용동사]소박
● そまつ[粗末]     [형용동사]허술하고 나쁨;변변치 않음, 소홀...
● そる[剃る]     [동사]박박 깎다;면도하다
● それでも     [기타]그런데도;그래도;그러나
● それとも[其れとも]     [기타]그렇지 않으면;아니면;혹은
● それなのに     [기타]그런데도;그러함에도 불구하고
● それなら     [기타]그렇다면;그러면
● それる[逸れる]     [동사]빗가다;빗맞다;벗어나다
● そろばん[算盤·十露盤]     [명사]주판, 셈, 손익 계산;수지
● そん[損]     [명사]손;손해;불리함
● そんがい[損害]     [명사]손해, 파손
● そんけい[尊敬]     [명사]존경
● そんざい[存在]     [명사]존재
● ぞんずる[存ずる]     [동사]‘知る’의 겸사말, ‘思う’의 겸사말
● そんちょう[尊重]     [명사]존중
● そんとく[損得]     [명사]손득;손실과 이득;손익
● た[田]     [명사]논
● た[他] [명사]다름;딴 일, 딴 것, 다른 사람;남
● たい[対]     [명사]대, 성질이 반대임;또, 그것, 대…
● だい[大]     [명사]대, 큰, …의 크기
● だい[題]     [명사]제, 책의 이름, 제목;표제
● タイア     [명사]→タイヤ
● だいいち[第一]     [명사]제일, 첫 번째;가장 중요한 것, 가...
● たいき[大気]     [명사]대기, 공기, 마음이 너글너글함;도량...
● だいく[大工]     [명사]목수;또, 그 일, 도편수
● たいくつ[退屈]     [형용동사]지루함;심심하고 따분함;무료함
● たいけい[体系]     [명사]체계
● たいこ[太鼓]     [명사]북, ‘太鼓持ち’의 준말, ‘太鼓結び...
● たいざい[滞在]     [명사]체재;체류
● たいし[大使]     [명사]대사
● たいしょう[対象]     [명사]대상, 목표;상대, 인식 작용의 목적...
● たいしょう[対照]     [명사]대조, 두 개의 성질의 차가 뚜렷함,...
● だいしょう[大小]     [명사]대소, 허리에 차는 큰 칼·작은 칼,...
● だいじん[大臣]     [명사]대신, 장관, 太政官의 최상급의 벼슬...
● たいする[対する]     [동사]대하다, 마주 보다;마주하다, 짝이 ...
● たいせい[体制]     [명사]체제
● たいせき[体積]     [명사]체적;부피
● たいせん[大戦]     [명사]대전;특히, 세계 대전
● たいそう[体操]     [명사]체조;체육의 옛 이름
● たいはん[大半]     [명사]태반;과반;대부분
● だいぶぶん[大部分]     [명사]대부분;거의
● だいぶん[大分]     [부사]→だいぶ
● たいぼく[大木]     [명사]거목;큰 나무
● だいめいし[代名詞]     [명사]대명사, 대이름씨, 대표적·전형적인 ...
● ダイヤ     [명사]다이아, ‘ダイヤモンド’의 준말, 트...
● ダイヤグラム     [명사]다이어그램;도표;열차의 운행표
● たいよう[太陽]     [명사]태양, 해, 희망 등의 상징
● たいら[平ら]     [형용동사]평평함;평탄함, 산간의 평지, 다...
● たいりく[大陸]     [명사]대륙, 지구상의 광대한 육지, 유럽을...
● たいりつ[対立]     [명사]대립
● たうえ[田植(え)]     [명사]모내기;이앙
● たえず[絶えず]     [명사]늘;끊임없이
● だえん[楕円·橢円]     [명사]타원
● たがい[互い]     [명사]서로;교대로, 쌍방, 피차 마찬가지임...
● たがやす[耕す]     [동사]갈다
● たき[滝]     [명사]폭포, 급류
● たく[炊く]     [동사]밥을 짓다, 삶다;익히다
● たく[焚く·焼く]     [동사]불을 때다, 피우다
● たく[宅]     [대명사]집, 우리집, 아내가 남에게 자기 ...
● たくわえる[蓄える]     [동사]대비해 두다;저장하다, 기르다, 쌓다
● たずねる[尋ねる]     [동사]찾다, 더듬어 찾다, 더듬어 밝히다
● ただ[只·唯]     [명사]보통;예사, 다만;단, 단;다만
● たたかう[戦う]     [동사]싸우다, 전쟁하다;전투하다, 무기를 ...
● ただし[但し]     [기타]단;다만
● ただちに[直ちに]     [부사]곧;즉각, 바로;직접
● たちば[立場]     [명사]설 곳;발판, 입장;처지, 관점;견지
● たちまち[忽ち]     [부사]홀연;곧;금세
● たつ[経つ]     [동사]지나다;경과하다
● たっする[達する]     [동사]달하다, 도달하다;이르다, 달성하다;...
● だっせん[脱線]     [명사]탈선, 궤도를 벗어나다, 빗나가다;상...
● たった[唯]     [부사]겨우;단지;다만
● だって     [명사]…라도;일지라도, …도 또한;…도 역...
● だとう[妥当]     [형용동사]타당;적절
● たとえ[譬え·喩え]     [명사]비유;또, 비유한 것
● たとえる[例える]     [동사]예를 들다;비유하다
● たに[谷]     [명사]산골짜기, 골짜기 모양을 이룬 것;골
● たにん[他人]     [명사]타인;남
● たば[束]     [명사]다발;뭉치;단
● たび[度]     [명사]때;번, 때마다, 횟수;회
● たび[足袋]     [명사]일본식 버선
● たびたび[度度]     [부사]여러 번;자주;몇 번이고
● だぶだぶ     [부사]헐렁헐렁, 너무 살쪄서 뒤룩거리는 모...
● たま[玉]     [명사]옥, 주옥;특히, 진주, 아름다운 것...
● たま[球] [명사]구형의 것, 야구·탁구 따위의 공, ...
● たま[弾] [명사]총알;탄알
● たま[偶·適]     [형용동사]어쩌다가 일어나는 모양;드문 모양
● たまらない[堪らない]     [명사]참을 수 없다, 견딜 수 없다;배길 ...
● だまる[黙る]     [동사]말을 하지 않다, 가만히 있다
● ためいき[ため息]     [명사]한숨
● ためし[試し]     [명사]시험;시도
● ためす[試す]     [동사]시험하다;실지로 해보다
● ためらう[躊躇う]     [동사]주저하다;망설이다, 방황하다;같은 곳...
● たより[便り]     [명사]편의;편리, 형편이 좋은 때;기회, ...
● たよる[頼る]     [동사]의지하다;의뢰하다, 연고를 찾아가다
● だらしない     [형용사]야무지지 못하다;칠칠치 못하다;깔끔...
● たる[足る]     [동사]→たりる, 만족하다
● だれか[誰か] [명사]누군가
● たん[短]     [명사]짧음, 결점;단처, 단…;짧은
● だん[団]     [명사]단체;모임, 단체의 뜻
● だん[段]     [명사]단, 상하의 구획, 계단
● たんい[単位]     [명사]단위, 수량을 세는 기준으로서 정한 ...
● だんかい[段階]     [명사]단계
● たんこう[炭鉱]     [명사]탄광
● たんじゅん[単純]     [명사]단순
● たんしょ[短所]     [명사]단처;단점;결점
● たんす[簞笥]     [명사]옷장;장롱
● たんすい[淡水]     [명사]담수;민물;단물
● たんすう[単数]     [명사]단수;홑수
● だんち[団地]     [명사]단지;아파트같은 근대적 집단 주택이 ...
● だんてい[断定]     [명사]단정
● たんなる[単なる]     [형용동사]단순한
● たんぺん[短編]     [명사]단편
● たんぼ[田圃]     [명사]논
● ち[地] [명사]땅;지, 지면;지상, 토지;지방
● ちい[地位]     [명사]지위
● ちいき[地域]     [명사]지역
● チーズ     [명사]치즈;건락
● チーム     [명사]팀
● ちえ[知恵]     [명사]지혜;꾀
● ちがいない[ちがいない·違いない]     [명사]틀림없다;확실하다, 정말이다;그렇다
● ちかう[誓う]     [동사]맹세하다;서약하다
● ちかごろ[近頃]     [명사]최근;요사이, 매우
● ちかぢか[近近]     [부사]근근;머지않아, 붙을 정도로 가까이;...
● ちかよる[近寄る]     [동사]접근하다, 가까이 가다, 친근히 하다
● ちからづよい[力強い]     [형용사]마음 든든하다, 힘차다
● ちぎる[契る]     [동사]장래를 굳게 약속하다;특히, 부부로서...
● ちく[地区]     [명사]지구
● ちじ[知事]     [명사]지사
● ちしき[知識]     [명사]지식
● ちしつ[地質]     [명사]지질
● ちたい[地帯]     [명사]지대
● ちぢむ[縮む]     [동사]주름이 지다;쪼글쪼글해지다, 줄어들다...
● ちぢめる[縮める]     [동사]줄어지도록 하다, 줄이다;단축하다, ...
● ちぢれる[縮れる]     [동사]주름이 져서 오그라지다;주름이 지다,...
● ちてん[地点]     [명사]지점;곳
● ちのう[知能]     [명사]지능
● ちゃ[茶]     [명사]차, 찻잎, 다도
● ちゃくちゃく[着着]     [부사]착착;한걸음 한걸음
● ちゅう[注]     [명사]주;풀이;주해
● ちゅうしょう[抽象]     [명사]추상
● ちゅうせい[中世]     [명사]중세;鎌倉·室町 시대의 일컬음
● ちゅうせい[中性]     [명사]중성;중간의 성질, 남자 같은 여자;...
● ちゅうと[中途]     [명사]중도
● ちゅうりつ[中立]     [명사]중립
● ちょう[町]     [명사]지방 자치 단체의 하나
● ちょう[兆]     [명사]조, 1억의 1만 배, 수가 많음
● ちょう[庁]     [명사]관청, 관청을 나타내는 말
● ちょうかん[長官]     [명사]장관;‘文化庁’과 같이 ‘庁’가 붙은...
● ちょうき[長期]     [명사]장기
● ちょうこく[彫刻]     [명사]조각
● ちょうじょう[頂上]     [명사]정상;절정
● ちょうせつ[調節]     [명사]조절
● ちょうだい[頂戴]     [명사]받음, 주십시오;주세요
● ちょうたん[長短]     [명사]장단;긴 것과 짧은 것;남는 것과 부...
● ちょうてん[頂点]     [명사]정점, 각을 이룬 두 직선의 교차점;...
● ちょうほうけい[長方形]     [명사]직사각형
● ちょうり[調理]     [명사]조리, 요리함, 사물을 잘 처리하고 ...
● チョーク     [명사]초크;백묵;분필
● ちょくりゅう[直流]     [명사]직류, 항상 방향이 일정한 전류, 곧...
● ちょしゃ[著者]     [명사]저자;작자
● ちょしょ[著書]     [명사]저서
● ちょぞう[貯蔵]     [명사]저장
● ちょっかく[直角]     [형용동사]직각
● ちょっけい[直径]     [명사]직경;지름
● ちらす[散らす]     [동사]흩뜨리다, 어지르다;어수선하게 하다,...
● ちりがみ[ちり紙]     [명사]휴지;화장지
● ちりょう[治療]     [명사]치료
● ついか[追加]     [명사]추가
● ついで[次いで]     [부사]뒤이어;잇따라서, 그 다음에
● つう[通]     [명사]통;그 방면에 훤함, 세상 물정, 특...
● つうか[通貨]     [명사]통화
● つうがく[通学]     [명사]통학
● つうずる[通ずる]     [동사]→つうじる
● つうち[通知]     [명사]통지;알림
● つうよう[通用]     [명사]통용, 세상에서 널리 인정되어 통함,...
● つうろ[通路]     [명사]통로;보도;길
● -づかい[遣(い)] [명사]사용;씀, 목소리 등의 상태
● つかれ[疲れ]     [명사]피로
● つき[つき·付(き)] [명사]붙음;부착성, 불붙음;인화성, 배합;...
● つきあい[付き合い]     [명사]교제함;교제상의 의리
● つきあたり[突き当(た)り·突当り]     [명사]충돌;마주침, 막다른 곳;길이 막힌 ...
● つきあたる[突き当(た)る]     [동사]부딪치다;충돌하다, 막다른 곳에 이르...
● つきる[尽きる]     [동사]다하다, 진하다;떨어지다, 끝나다
● つく[就く]     [동사]들다, 오르다, 그 자리에 앉다;취임...
● つく[点く] [동사]불이 켜지다, 붙다;점화되다
● つく[突く]     [동사]찌르다, 내지르다, 충천하다
● -つく[付く·附く]     [명사]소리·동작·모양이 그렇게 됨을 나타냄
● つぐ[次ぐ]     [동사]뒤를 잇다, 다음가다;버금가다
● つぐ[注ぐ]     [동사]쏟다;붓다;따르다
● つくる[造る] [동사]만들다, 짓다;꾸미다, 건조하다
● つける[浸ける]     [동사]잠그다;담그다;축이다
● つける[点ける] [동사]붙이다;스위치를 틀어 켜다
● つける[着ける] [동사]대다, 갖다 붙이다, 닿게 하다
● つづき[続き]     [명사]이음;연결, 계속, 잇따름;연속
● つっこむ[突っ込む]     [동사]돌입하다, 깊이 파고들다, 처넣다;처...
● つとめ[務め] [명사]할 일;의무;임무
● つとめ[勤め]    [명사]근무함;또, 그 일, 중의 일과로서의...
● つとめる[努める]     [동사]힘쓰다;노력하다;애쓰다
● つとめる[務める]     [동사]역을 맡다;역할을 다하다
● つな[綱]     [명사]밧줄, 비유적으로, 의지하는 것, 横...
● つながり[繫がり]     [명사]연계, 이어짐;또, 그것, 관계;유대
● つながる[繫がる]     [동사]이어지다, 연결되다;붙어 있다, 연잇...
● つなげる[繫げる]     [동사]→つなぐ
● つねる[抓る]     [동사]꼬집다
● つば[唾]     [명사]침
● つばさ[翼]     [명사]날개, 새 날개, 비행기 날개;전하여...
● つぶ[粒]     [명사]알, 둥글고 작은 것;낱알, 주판의 ...
● つまずく[躓く]     [동사]발이 걸려 넘어지다;발이 무엇에 채이...
● つまり[詰(ま)り]     [명사]막힘;막다른 곳, 오그라듦;줄어듦
● つまる[詰(ま)る]     [동사]가득 차다;잔뜩 쌓이다, 막히다, 메...
● つみ[罪]     [명사]죄, 법을 어기는 행위;전하여, 그 ...
● つめる[詰める]     [동사]채우다, 막다, 대기하다
● つや[艶]     [명사]윤기;광택, 남녀의 정사에 관한 일,...
● つよき[強気]     [형용동사]성미가 강함;또, 그 태도, 강세...
● つりあう[釣(り)合う]     [동사]균형이 잡히다;어울리다;적합하다
● つる[吊る]     [동사]달다, 드리우다;치다, 당겨져 수축하...
● つるす[吊(る)す]     [동사]달아매다;매달다
● つれ[連れ]     [명사]동행;동반자, 함께 동작함, 그와 같...
● で [동사]助動詞 ‘だ’의 連用形, 고;로서, ...
● てあらい[手洗(い)]     [명사]손을 씻음;손 씻은 물, 변소;화장실...
● ていか[定価]     [명사]정가
● ていこう[抵抗]     [명사]저항
● ていし[停止]     [명사]정지
● ていど[程度]     [명사]정도, 얼마 가량의 분량, 수준
● ていれ[手入れ]     [명사]고침;손질함, 범죄 수사와 범인 검거...
● デート     [명사]데이트, 남녀가 서로 만남;또, 그 ...
● テーマ     [명사]테마;제목;논제
● てき[敵]     [명사]적, 전쟁·경쟁을 하거나 원한을 품은...
● できあがり[出来上(が)り]     [명사]완성함;다 됨, 됨됨이;만듦새
● てきかく[的確]     [형용동사]적확;딱 들어맞음
● てきかく[適確] [형용동사]적확;틀림이 없음;확실
● てきする[適する]     [동사]알맞다;적당하다;합당하다
● てきせつ[適切]     [명사]적절
● てきど[適度]     [형용동사]적당한 정도
● てきよう[適用]     [명사]적용
● でくわす[出くわす]     [동사]만나다;맞닥뜨리다
● でこぼこ[凸凹]     [명사]요철;울퉁불퉁, 불균형
● でし[弟子]     [명사]제자;문하생
● ですから     [기타]그러니까;그래서
● でたらめ[出鱈目]     [명사]엉터리;함부로 함;되는 대로임
● てちょう[手帳]     [명사]수첩
● てつ[鉄]     [명사]철;쇠
● てつがく[哲学]     [명사]철학
● てっきょう[鉄橋]     [명사]철교
● てつづき[手続(き)]     [명사]수속;절차
● てってい[徹底]     [명사]철저
● てっぽう[鉄砲]     [명사]총;총포류, 총포와 비슷한 것, 목욕...
● てつや[徹夜]     [명사]철야;밤새움
● てぬぐい[手ぬぐい]     [명사]수건
● てま[手間]     [명사]품;수고, ‘手間賃’의 준말, ‘手間...
● でむかえ[出迎え]     [명사]출영;마중;나가 영접함
● デモ     [명사]데모;‘デモンストレーション’의 준말
● てらす[照(ら)す]     [동사]빛을 비추다;비추어 밝히다, 비추어 ...
● てる[照る]     [동사]비치다;아름답게 빛나다, 개다
● てんかい[展開]     [명사]전개, 타개
● でんき[伝記]     [명사]전기
● てんけい[典型]     [명사]전형
● てんこう[天候]     [명사]천후;기후;날씨
● でんし[電子]     [명사]전자
● てんすう[点数]     [명사]점수, 득점수, 물건의 수
● でんち[電池]     [명사]전지
● てんてん[転転]     [명사]전전, 여기저기 옮겨 다님, 굴러감
● てんてん[点点]     [명사]몇 개의 점, 얼룩;반점, 여기저기 ...
● テント     [명사]텐트;천막
● でんとう[伝統]     [명사]전통
● てんねん[天然]     [명사]천연, 인공을 가하지 않은 자연 그대...
● てんのう[天皇]    [명사]천황
● でんぱ[電波]     [명사]전파
● テンポ     [명사]템포, 악곡의 속도, 사물의 진행 속...
● でんりゅう[電流]     [명사]전류
● でんりょく[電力]     [명사]전력
● とい[問(い)]     [명사]물음;질문;문제
● とう[党]     [명사]당, 동아리;무리, …당;정당
● とう[塔]     [명사]탑
● とう[等]     [명사]등급;품등, …등, 따위
● とう[頭]     [명사]‘蔵人頭’의 준말, 두;필
● どう[同]     [명사]같음, 같은, 그
● どう[道]     [명사]도, ‘北海道’의 준말, 길;도로
● どう[銅]     [명사]동;구리
● とういつ[統一]     [명사]통일
● どういつ[同一]     [형용동사]동일, 같음, 차이가 없음;동등
● どうか[如何か]     [부사]제발;부디, 어떻게;어떻게든, 어떤
● どうかく[同格]     [명사]동격;똑같은 자격
● とうげ[峠]     [명사]산마루;고개, 절정기;고비
● どうさ[動作]     [명사]동작
● とうざい[東西]     [명사]동서, 동쪽과 서쪽, 방향
● とうじ[当時]     [명사]당시, 그 무렵;그때, 현금;현재
● どうし[動詞]     [명사]동사
● どうじ[同時]     [명사]동시;같은 때;같은 시대
● とうじつ[当日]     [명사]당일
● どうしても[如何しても]     [명사]아무리 하여도, 무슨 일이 있어도;꼭
● とうしょ[投書]     [명사]투서, 투고
● どうせ[何うせ]     [부사]어차피;어떻든, 내친 김에;이왕
● とうぜん[当然]     [부사 ]당연
● どうとく[道徳]     [명사]도덕
● とうなん[盗難]     [명사]도난
● とうばん[当番]     [명사]당번
● とうひょう[投票]     [명사]투표
● とうぶん[等分]     [명사]등분
● とうめい[透明]     [형용동사]투명
● とうゆ[灯油]     [명사]등유
● どうよう[童謡]     [명사]동요
● どうよう[同様]     [형용동사]같은 모양;같음
● どうりょう[同僚]     [명사]동료
● とうろく[登録]     [명사]등록
● とうろん[討論]     [명사]토론
● どうわ[童話]     [명사]동화
● とおす[通す]     [동사]통하게 하다, 내다, 뚫다
● とおりかかる[通りかかる]     [동사]지나가다;마침 지나가다
● とかい[都会]     [명사]도회지;도시, ‘都議会’의 준말
● とがる[尖る]     [동사]뾰족해지다, 예민해지다, 골내다
● とく[解く]     [동사]풀다, 매듭·묶음·엉클어짐 등을 풀다
● どく[退く]     [동사]물러나다;비키다
● とくしゅ[特殊]     [명사]특수, 보편에 대해 그 개개의 경우·...
● とくちょう[特長]     [명사]특장;특징을 이루는 장점;특별한 장점
● とくちょう[特徴]     [명사]특징
● とくてい[特定]     [명사]특정
● どくとく[独特]     [형용동사]독특
● とけこむ[溶(け)込む·解(け)込む·融け込む]     [동사]녹아서 완전히 섞이다;용해하다, 융화...
● とける[溶ける·解ける]     [동사]녹다, 풀리다, 금속이 용해하다
● とける[解ける]     [동사]풀리다, 끌러지다, 해제되다
● どける[退ける]     [동사]치우다;비키다;물리치다
● どこか[何処か]     [부사]어딘가;어딘지
● ところ[野老]     [명사]도코로마
● ところが     [기타]그랬더니;그런데, …던바;…더니, …...
● ところで     [기타]그런데;그것은 그렇다 하고, →ところ...
● ところどころ[所所]     [명사]여기저기
● としつき[年月]     [명사]연월;해와 달, 세월;광음, 긴 세월
● としょ[図書]     [명사]도서;책
● としん[都心]     [명사]도심
● とだな[戸棚]     [명사]찬장
● とたん[途端]     [명사]찰나;막 그 순간
